# CORE-IF-001 semantic delta ledger
# forge_commit=78fad4069d778996c24ecf5acc5cbe0e1edea7a
# donor_commit=cc2d69425beea2c93a4000e44d49381deba8eed2
# total_rows=1923
# disposition_counts={"Forge only preservation":1422,"adapted later":370,"rejected non scope item":131}
delta_id	donor_commit	donor_path	semantic_change	forge_path	applicability	disposition	requirement_id	phase_id	task_id	regression_id	evidence
DELTA-0011	cc2d69425beea2c93a4000e44d49381deba8eed2	FutureShopsAudit.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0011	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 FutureShopsAudit.md
DELTA-0012	cc2d69425beea2c93a4000e44d49381deba8eed2	PORTING_NOTES.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0012	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 PORTING_NOTES.md
DELTA-0013	cc2d69425beea2c93a4000e44d49381deba8eed2	README.md	documentation semantic change	README.md	applicable	adapted later	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0013	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 README.md
DELTA-0014	cc2d69425beea2c93a4000e44d49381deba8eed2	build.gradle	build semantic change	build.gradle	applicable	adapted later	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-0014	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 build.gradle
DELTA-0015	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/README.md	documentation semantic change	docs/README.md	applicable	adapted later	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0015	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/README.md
DELTA-0016	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/administrator-bulk-catalog.md	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0016	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/administrator-bulk-catalog.md
DELTA-0017	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/api/economy-provider.md	documentation semantic change	none	applicable	adapted later	CORE-REQ-010	CORE-PHASE-005	P005-TASK-001	REG-P000-DELTA-0017	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/api/economy-provider.md
DELTA-0018	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/backup-restore.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0018	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/backup-restore.md
DELTA-0019	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/bazaar-products.md	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0019	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/bazaar-products.md
DELTA-0020	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/bulk-selling.md	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0020	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/bulk-selling.md
DELTA-0021	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/community-bug-regression-test-gaps.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0021	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/community-bug-regression-test-gaps.md
DELTA-0022	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/community_suggestions.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0022	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/community_suggestions.md
DELTA-0023	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/compatibility-matrix.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0023	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/compatibility-matrix.md
DELTA-0024	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/config-3.0-examples.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0024	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/config-3.0-examples.md
DELTA-0025	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/config-3.1-offers.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0025	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/config-3.1-offers.md
DELTA-0026	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/economy-debugging.md	documentation semantic change	none	applicable	adapted later	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0026	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/economy-debugging.md
DELTA-0027	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/documentation.md	documentation semantic change	none	applicable	adapted later	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0027	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/documentation.md
DELTA-0028	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/phases/plan-phase-000.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0028	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/phases/plan-phase-000.md
DELTA-0029	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/phases/plan-phase-001.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0029	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/phases/plan-phase-001.md
DELTA-0030	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/phases/plan-phase-002.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0030	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/phases/plan-phase-002.md
DELTA-0031	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/phases/plan-phase-003.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0031	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/phases/plan-phase-003.md
DELTA-0032	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/plan.handoff.json	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0032	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/plan.handoff.json
DELTA-0033	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/plan.index.json	donor documentation or evidence delta	plan.index.json	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0033	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/plan.index.json
DELTA-0034	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/general/plan.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0034	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/general/plan.md
DELTA-0035	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/integrations/danconomy-economy.md	documentation semantic change	none	applicable	adapted later	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0035	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/integrations/danconomy-economy.md
DELTA-0036	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/integrations/pixelmon-economy.md	documentation semantic change	none	applicable	adapted later	CORE-REQ-008	CORE-PHASE-004	P004-TASK-001	REG-P000-DELTA-0036	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/integrations/pixelmon-economy.md
DELTA-0037	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/markets-guide.md	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0037	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/markets-guide.md
DELTA-0038	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/operations/backup-restore.md	documentation semantic change	none	applicable	adapted later	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0038	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/operations/backup-restore.md
DELTA-0039	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/persistence-database-audit.md	applicable	Forge only preservation	CORE-REQ-006	CORE-PHASE-003	P003-TASK-001	REG-P000-DELTA-0039	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/persistence-database-audit.md
DELTA-0040	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/physical-currency-atm.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0040	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/physical-currency-atm.md
DELTA-0041	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/plan/goal.md	donor documentation or evidence delta	docs/plan/goal.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0041	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/plan/goal.md
DELTA-0042	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/redesign-nocturne-spec.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0042	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/redesign-nocturne-spec.md
DELTA-0043	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/release-notes-3.0-beta.md	applicable	Forge only preservation	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0043	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/release-notes-3.0-beta.md
DELTA-0044	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/schemas/futureshops-bazaar-product.schema.json	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0044	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/schemas/futureshops-bazaar-product.schema.json
DELTA-0045	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/security/dependency-alerts-3.0-beta.4.md	applicable	Forge only preservation	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-0045	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/security/dependency-alerts-3.0-beta.4.md
DELTA-0046	cc2d69425beea2c93a4000e44d49381deba8eed2	none	documentation preservation	docs/security/dependency-alerts-3.0-beta.5.md	applicable	Forge only preservation	CORE-REQ-002	CORE-PHASE-001	P001-TASK-003	REG-P000-DELTA-0046	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/security/dependency-alerts-3.0-beta.5.md
DELTA-0047	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/api-selection-2026-09-02.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0047	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/api-selection-2026-09-02.md
DELTA-0048	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/baseline-2026-09-02.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0048	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/baseline-2026-09-02.md
DELTA-0049	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/completion-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0049	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/completion-2026-09-01.md
DELTA-0050	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/completion-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0050	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/completion-2026-09-04.md
DELTA-0051	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/duplicate-gate-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0051	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/duplicate-gate-2026-09-01.md
DELTA-0052	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/forge-baseline-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0052	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/forge-baseline-2026-09-01.md
DELTA-0053	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/github-baseline-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0053	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/github-baseline-2026-09-01.md
DELTA-0054	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/harness-contract-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0054	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/harness-contract-2026-09-01.md
DELTA-0055	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/issue-snapshots-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0055	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/issue-snapshots-2026-09-01.md
DELTA-0056	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/neoforge-baseline-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0056	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/neoforge-baseline-2026-09-01.md
DELTA-0057	cc2d69425beea2c93a4000e44d49381deba8eed2	none	donor documentation or evidence delta	docs/verification/phase-000/owner-disposition-and-campaigns-2026-09-01.md	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0057	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/owner-disposition-and-campaigns-2026-09-01.md
DELTA-0058	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-001-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0058	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-001-2026-09-04.md
DELTA-0059	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-002-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0059	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-002-2026-09-04.md
DELTA-0060	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-003-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0060	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-003-2026-09-04.md
DELTA-0061	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-004-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0061	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-004-2026-09-04.md
DELTA-0062	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-005-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0062	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-005-2026-09-04.md
DELTA-0063	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-006-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0063	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-006-2026-09-04.md
DELTA-0064	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-007-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0064	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-007-2026-09-04.md
DELTA-0065	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-008-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0065	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-008-2026-09-04.md
DELTA-0066	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-009-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0066	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-009-2026-09-04.md
DELTA-0067	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-010-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0067	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-010-2026-09-04.md
DELTA-0068	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-011-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0068	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-011-2026-09-04.md
DELTA-0069	cc2d69425beea2c93a4000e44d49381deba8eed2	docs/verification/phase-000/p000-task-012-2026-09-04.md	donor documentation or evidence delta	none	non_product	rejected non scope item	CORE-REQ-020	CORE-PHASE-010	P010-TASK-001	REG-P000-DELTA-0069	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 docs/verification/phase-000/p000-task-012-2026-09-04.md
